| Start Address | End Address | Label             | Size      | Notes                                                   |
| ------------- | ----------- | ----------------- | --------- | ------------------------------------------------------- |
| 0x00001000    | 0x00001FFF  | Bootloader        | 4 KiB     | Reserved for bootloader code/data (16-bit real mode)    |
| 0x00002000    | 0x00007FFF  | KRNL              | 24 KiB    | 32-bit kernel entry binary                              |
| 0x00008000    | 0x00008FFF  | E820 table        | 4 KiB     | BIOS memory map                                         |
| 0x00009000    | 0x00009100  | VBE Mode Info     | 256 bytes | VESA BIOS Extensions Mode Info Block (set in real mode) |
| 0x00090000    | 0x000FFFFF  | Stack             | 512 KiB   | Protected mode / early stack                            |
| 0x00100000    | 0x001FFFFF  | DATA              | 1 MiB     | Data buffer or init heap                                |
| 0x00200000    | 0x003FFFFF  | RTOSKRNL          | 2 MiB     | Kernel code/data                                        |
| 0x00400000    | 0x005FFFFF  | Kernel Heap       | 2 MiB     | Dynamic allocation / paging                             |
| 0x00600000    | 0x00DFFFFF  | Program           | 8 MiB     | Application or runtime space                            |
| 0x00E00000    | 0x00EFFFFF  | Paging Structures | 1 MiB     | Page directory + tables                                 |
| 0x00F00000    | 0x00FFFFFF  | Framebuffer       | 1 MiB     | VESA/VBE video buffer (e.g., 1024x768x32)               |
| 0x01000000    | 0x010FFFFF  | ACPI/APIC         | 1 MiB     | ACPI RSDP, MADT, etc.                                   |
| 0x01100000    | 0x1FFFFFFF  | User Space        | ~495 MiB  | High memory user programs/data                           |
